"Mo","Nb","Ta","V","W","sph_1","sph_2","sph_3","sph_4","alloy_cnt","m_log_max_strain","m_bc_1","m_bc_2","m_bc_3","m_bc_4","var_log_max_strain","var_bc_1","var_bc_2","var_bc_3","var_bc_4"
0.4,0.6,0,0,0,0.886077123792614,0,0,0,38,-0.674409867615335,-0.426843789700031,-0.58694382100141,-0.380326963392424,-0.449986822881024,0.000283142444206904,3.28161061015646e-05,1.48004541868578e-05,8.45920649116957e-05,5.63646177264054e-05
0.4,0,0.6,0,0,0.886077123792614,1.5707963267949,0,0,39,0.168143275372414,-0.235498140400909,-0.182218052629022,0.445695782573179,-0.16997292818709,0.00103578136336977,0.000259227897847087,0.000305129845004449,1.16546800884629e-06,3.4327754073747e-05
0.4,0,0,0.6,0,0.886077123792614,1.5707963267949,1.5707963267949,0,40,0.256784437614058,-0.0619402741252759,-0.175131683935067,-0.515324449104909,-0.513065318332026,0.00913409473708222,0.00181371682761443,0.00139487291343422,0.00056179171456252,0.00288056949082839
0.4,0,0,0,0.6,0.886077123792614,1.5707963267949,1.5707963267949,1.5707963267949,41,0.0170149647907223,1.75618516455117,1.6811881268134,-1.08676661116225,-0.0292649354152366,0.000276577267293309,0.000138981010452088,0.000121957699913097,5.44004431427149e-05,9.79869414647665e-05
0.3,0.7,0,0,0,0.991156586431192,0,0,0,49,-0.491620365685456,-0.563561613792218,-0.728544717320355,-0.419227051304823,-0.442679822456532,0.0149305774194503,0.00169800244709064,0.00107963451157344,0.00153230301811924,0.00136188175788818
0.3,0,0.7,0,0,0.991156586431192,1.5707963267949,0,0,50,0.503621502348722,-0.369034556251796,-0.276594567551669,0.721859885856846,0.186716788572281,0.00861555926624119,0.00209654203628375,0.00317805973942959,0.000700966882381053,0.00125441030888102
0.3,0,0,0.7,0,0.991156586431192,1.5707963267949,1.5707963267949,0,51,0.175414835646628,-0.288510292776625,-0.424388691334001,-0.534820867867042,-0.5139499449923,0.0316203769744234,0.00499907732981295,0.00365228088688102,0.00242905343071215,0.0101269478467432
0.3,0,0,0,0.7,0.991156586431192,1.5707963267949,1.5707963267949,1.5707963267949,52,0.0201299478429914,1.80776206340272,1.75468318702015,-1.06649501317779,-0.0092091996019274,0.00150386702571509,0.000868504188645899,0.000768332846826038,6.50155401834646e-05,0.00244240883256709
0.2,0.8,0,0,0,1.10714871779409,0,0,0,58,-0.382154393851838,-0.635208460078359,-0.821391130967421,-0.494042950691346,-0.390956302851758,0.000324335769408558,3.30669616637149e-05,2.22804289693046e-05,2.02327464249331e-05,8.73455765058272e-05
0.2,0,0.8,0,0,1.10714871779409,1.5707963267949,0,0,60,0.992974098834197,-0.435974715395638,-0.252974792940535,1.14603274982867,0.753366428401744,0.00274826980007784,0.000791861616888013,0.0014910792034054,0.0013867251858078,0.00180675119557729
0.2,0,0,0.8,0,1.10714871779409,1.5707963267949,1.5707963267949,0,61,0.0329448624213454,-0.496800800007104,-0.681490423168788,-0.564909114028696,-0.49274698910233,0.000759530636062857,0.000126814085516602,0.000140871590914354,0.000124143125252573,0.00172781459517262
0.2,0,0,0,0.8,1.10714871779409,1.5707963267949,1.5707963267949,1.5707963267949,62,0.170837699278559,1.97683065874751,1.93557771648597,-1.07968720218092,0.203949756771187,0.00718636326162745,0.00451129276853089,0.0039505383476964,0.000370784373426424,0.0103640105133903
0.1,0.9,0,0,0,1.24904577239825,0,0,0,64,-0.119809628232425,-0.764845209264175,-1.0037125525428,-0.583795754415129,-0.275035410299438,0.0108183023326408,0.000901785188678563,0.000438299326212375,0.00109318124527133,0.00239617303304411
