alloy_rep_id,alloy_cnt.x,log_max_stress,log_max_strain,bc_1,bc_2,bc_3,bc_4,bc_5,bc_6,toughness,young_mod,frac_stress,gcv,alloy,Mo,Nb,Ta,V,W,rep,Experiment,alloy_cnt.y
0.379867673301018_0.452048805094202_0.0375305434025656_0.108994048771415_0.0215589294307989_3,42,2.32957256221331,-2.98380370268872,5.83305823980012,2.99072827240767,-0.298270982818038,-0.050827060450556,-0.000398138804581889,-0.00510718190297778,0.293083083232328,247.58016837467,10.1767555337401,1.75187684028257,MoNbTaVW,0.379867673301018,0.452048805094202,0.0375305434025656,0.108994048771415,0.0215589294307989,3,3,42
0.3_0.7_0_0_0_1,49,2.21739376885389,-2.81674961802554,5.38021578898249,2.69631171496245,-0.370117561910338,-0.0637495176445538,0.00519563213169663,-0.0093180503689,0.319919466242374,203.18454557321,9.03280176478443,2.66189103061419,MoNb,0.3,0.7,0,0,0,1,100,49
0.3_0.7_0_0_0_2,49,2.2123033349564,-2.83361342407754,5.31476392230735,2.67676614669702,-0.352814156860081,-0.0602818173269513,0.00354808936660979,-0.0110139582253627,0.310703242335564,203.804285239354,8.97065404279921,2.62118151967091,MoNb,0.3,0.7,0,0,0,2,100,49
0.3_0.7_0_0_0_3,49,2.22176727624414,-2.79688141480884,5.45410418263476,2.71503893969735,-0.393663532370949,-0.0688749154530549,0.00321949912484499,-0.00900156465136052,0.330876119312611,202.915092077446,9.06978868508609,2.74695811641379,MoNb,0.3,0.7,0,0,0,3,100,49
0.3_0_0.7_0_0_1,50,2.27061800687856,-2.45108510131249,6.10100878095283,2.92254939448759,-0.679953847827554,-0.122882175577391,0.0486972237589116,0.0233836499888675,0.52400756911091,169.487843841646,9.53572761456004,2.8142694704296,MoTa,0.3,0,0.7,0,0,1,100,50
0.3_0_0.7_0_0_2,50,2.27550899666225,-2.4349742810398,6.15603229179744,2.92449679857275,-0.704365733632359,-0.118568549174316,0.055206706288567,0.0251791267320083,0.537361067639108,169.519904917835,9.57565474499102,2.81034995211667,MoTa,0.3,0,0.7,0,0,2,100,50
0.3_0_0.7_0_0_3,50,2.27180893973865,-2.45108510131249,6.10434692210965,2.9247521043272,-0.679969238197733,-0.123537022717501,0.0479099969623137,0.0233915748370838,0.524294805964578,169.579483363825,9.53891597154745,2.82770780489281,MoTa,0.3,0,0.7,0,0,3,100,50
0.3_0_0_0.7_0_1,51,2.34986342192031,-2.69119308403579,5.76607412264712,3.04133593988195,-0.240285655254589,-0.00374208972443441,-0.00347601900172712,-0.00380156555579019,0.388851413647396,189.059271146694,10.4440417118376,0.500514389416593,MoV,0.3,0,0,0.7,0,1,100,51
0.3_0_0_0.7_0_2,51,2.32394141902217,-2.72723302051899,5.59787151625474,2.96703569303652,-0.221677575246627,-0.00117409356576142,-0.00101640627718451,-0.00230606282813196,0.36406005477148,188.967322443244,10.2060576910431,0.458046652779771,MoV,0.3,0,0,0.7,0,2,100,51
0.3_0_0_0.7_0_3,51,2.33312093416483,-2.71810053695572,5.64023447022191,2.98544338984675,-0.226567583754262,-0.00203096375291704,-0.00187650495597762,-0.00323072245110495,0.370203343335094,189.079467762827,10.2621639680928,0.50109520344319,MoV,0.3,0,0,0.7,0,3,100,51
